@id,name,@type,@lon,@lat
25632235,Seymour,node,145.1362432,-37.0241543
25635340,Benalla,node,145.9883521,-36.5489710
25646189,Wallan,node,144.9774549,-37.4138855
25646380,Kilmore,node,144.9510311,-37.2922688
30863907,Warburton,node,145.6887265,-37.7536223
31617240,Hastings,node,145.1902003,-38.3074880
32101094,Lancefield,node,144.7340354,-37.2763273
34103046,Harrietville,node,147.0638695,-36.8923168
34114869,Bright,node,146.9607724,-36.7285335
36422054,Maldon,node,144.0689457,-36.9963144
36698974,Lorne,node,143.9748166,-38.5411691
55191990,Lakes Entrance,node,147.9943828,-37.8794582
55196068,Morwell,node,146.3993983,-38.2365734
55199092,Warragul,node,145.9336290,-38.1588674
55199106,Drouin,node,145.8561692,-38.1361076
56921985,Moe,node,146.2618944,-38.1775203
59628055,Leongatha,node,145.9458605,-38.4761569
59631938,Inverloch,node,145.7279504,-38.6331582
59631939,Wonthaggi,node,145.5913433,-38.6043664
59631941,Foster,node,146.2018600,-38.6509683
59633024,Orbost,node,148.4554712,-37.7037061
59728919,Heyfield,node,146.7847464,-37.9816865
60283369,Gisborne,node,144.5904237,-37.4867230
60287166,Euroa,node,145.5687630,-36.7527608
60303319,Daylesford,node,144.1465866,-37.3414775
60568232,Kinglake,node,145.3411310,-37.5327424
60570255,Healesville,node,145.5161533,-37.6537218
60796165,Glenrowan,node,146.2256668,-36.4622687
60796195,Portland,node,141.6042304,-38.3456231
60796473,Ouyen,node,142.3163922,-35.0692365
65639903,Eildon,node,145.9101560,-37.2327565
65640980,Alexandra,node,145.7107750,-37.1924280
65641576,Yea,node,145.4224688,-37.2130473
65642826,Mansfield,node,146.0881582,-37.0520197
65649235,Violet Town,node,145.7179789,-36.6370888
65663150,Heathcote,node,144.7033003,-36.9160908
67340420,Dandenong,node,145.2147923,-37.9874900
78094548,Melton,node,144.5828446,-37.6835714
79917279,Maffra,node,146.9764384,-37.9652474
94421814,Robinvale,node,142.7739356,-34.5840409
97160788,Lilydale,node,145.3524050,-37.7576639
97564451,Castlemaine,node,144.2200032,-37.0664778
123453118,Colac,node,143.5858537,-38.3399766
123458448,Cobden,node,143.0778800,-38.3282494
123474233,Camperdown,node,143.1465837,-38.2318682
124405711,Hamilton,node,142.0243127,-37.7435744
135631881,Echuca,node,144.7516955,-36.1281405
135631910,Swan Hill,node,143.5592026,-35.3393279
143243427,Portarlington,node,144.6530634,-38.1156562
145478410,Kerang,node,143.9204152,-35.7338373
145496315,Rochester,node,144.7010197,-36.3569068
145496386,Elmore,node,144.6114432,-36.4960503
147649314,Cobram,node,145.6484379,-35.9197782
147654380,Yarrawonga,node,146.0063494,-36.0141692
150984354,Korumburra,node,145.8236012,-38.4321809
161252527,Beechworth,node,146.6870123,-36.3594895
161302593,Omeo,node,147.5922462,-37.1003991
174755062,Ballan,node,144.2267258,-37.5995050
190049723,Avoca,node,143.4745461,-37.0893309
192816449,Yarra Junction,node,145.6150255,-37.7821693
197342891,Chiltern,node,146.6091261,-36.1510392
203102403,Tallangatta,node,147.1778983,-36.2166166
207729497,Corryong,node,147.9042145,-36.1975112
214095276,St Arnaud,node,143.2553930,-36.6149980
244037887,Bannockburn,node,144.1741939,-38.0470559
246992759,Murchison,node,145.2166300,-36.6173625
246992762,Rushworth,node,145.0155700,-36.5860102
252999906,Kyabram,node,145.0480905,-36.3131874
252999957,Tatura,node,145.2329963,-36.4399698
263675075,Yarra Glen,node,145.3743964,-37.6573475
266597469,Charlton,node,143.3518194,-36.2686100
267123862,Port Campbell,node,142.9953660,-38.6196293
267458656,Whittlesea,node,145.1177321,-37.5121301
272672224,Mortlake,node,142.8055361,-38.0812102
273048501,Woodend,node,144.5341381,-37.3536857
273048504,Kyneton,node,144.4552171,-37.2474940
273870295,Newstead,node,144.0624913,-37.1072778
276650497,Maryborough,node,143.7362835,-37.0481014
283282883,Minyip,node,142.5871266,-36.4612399
283285303,Donald,node,142.9830851,-36.3701184
283286429,Murtoa,node,142.4678219,-36.6194331
283287126,Stawell,node,142.7745476,-37.0586869
283287579,Ararat,node,142.9306210,-37.2843443
286439479,Dunolly,node,143.7337931,-36.8590029
287165326,Nhill,node,141.6492931,-36.3331297
287166724,Warracknabeal,node,142.3953525,-36.2510282
287167308,Dimboola,node,142.0272639,-36.4554926
287497158,Birchip,node,142.9159408,-35.9827621
287497593,Sea Lake,node,142.8505218,-35.5056193
291548996,Dunkeld,node,142.3441635,-37.6494468
291676622,Irymple,node,142.1704328,-34.2356230
301983645,Creswick,node,143.8939669,-37.4245857
301990792,Clunes,node,143.7865803,-37.2940636
312681738,Wycheproof,node,143.2278903,-36.0791844
322765968,Koroit,node,142.3642583,-38.2909806
325250546,Numurkah,node,145.4416699,-36.0930602
330691574,Rutherglen,node,146.4601363,-36.0538594
417279766,Beaufort,node,143.3832189,-37.4292674
419546240,Red Cliffs,node,142.1895377,-34.3070205
427547375,Boort,node,143.7222634,-36.1177895
427834880,Pyramid Hill,node,144.1155932,-36.0543991
482791879,Buninyong,node,143.8839672,-37.6502675
512089669,Casterton,node,141.4037762,-37.5852850
513051409,Rainbow,node,141.9955533,-35.8981833
534508901,Koo Wee Rup,node,145.4928540,-38.1990553
536417243,Riddells Creek,node,144.6776503,-37.4587733
564517285,Inglewood,node,143.8685313,-36.5731171
573254855,Talbot,node,143.7017193,-37.1703696
595869190,Coleraine,node,141.6895453,-37.5998611
597124897,Lake Boga,node,143.6319969,-35.4584642
621866750,Edenhope,node,141.2903039,-37.0373011
642902605,Katamatite,node,145.6873855,-36.0796109
643008740,Nathalia,node,145.2074850,-36.0578072
665692449,Hopetoun,node,142.3635936,-35.7295279
692950786,Kaniva,node,141.2418168,-36.3795678
705557765,Bacchus Marsh,node,144.4366202,-37.6751897
1102900708,Macedon,node,144.5636447,-37.4214267
1215715175,Allansford,node,142.6001551,-38.3862028
1215867850,Terang,node,142.9146792,-38.2399682
1294486079,Barmah,node,144.9613869,-36.0157009
1617198913,Seville,node,145.4594001,-37.7782042
1675217294,Heywood,node,141.6261575,-38.1324107
1701813096,Jamieson,node,146.1375439,-37.3028940
1751005346,Sale,node,147.0647902,-38.1050358
1778816094,Willaura,node,142.7398749,-37.5439640
1863909170,Romsey,node,144.7374475,-37.3518801
1887345497,Nyah,node,143.3792615,-35.1723395
1887612114,Gunbower,node,144.3665973,-35.9573850
1887635010,Koondrook,node,144.1269388,-35.6361805
1912364980,Paynesville,node,147.7201233,-37.9111097
1917800073,Trentham,node,144.3263388,-37.3900875
2008004226,Wedderburn,node,143.6143424,-36.4192187
2041482079,Port Welshpool,node,146.4636958,-38.7005314
2053862151,Manangatang,node,142.8830435,-35.0546525
2057484378,Cohuna,node,144.2200068,-35.8082600
2059381201,Nyah West,node,143.3469049,-35.1866630
2138130510,Bunyip,node,145.7208993,-38.0971242
2142451821,Rosebud,node,144.9095115,-38.3710325
2148444968,Frankston,node,145.1268808,-38.1444729
2166157813,Longford,node,147.0860703,-38.1712680
2279116847,Puckapunyal,node,145.0359724,-37.0008314
2292238671,Mooroopna,node,145.3600618,-36.3944998
2321687663,Port Fairy,node,142.2366722,-38.3855117
2410630288,Mallacoota,node,149.7540761,-37.5599955
2574377523,Drysdale,node,144.5710723,-38.1728304
2574381250,Queenscliff,node,144.6612949,-38.2671132
2577650202,Cowes,node,145.2389787,-38.4502447
2577778018,Lara,node,144.4088294,-38.0235346
2578884910,Sunbury,node,144.7295281,-37.5796938
2582850956,Pakenham,node,145.4833359,-38.0791530
2597859457,Emerald,node,145.4407248,-37.9321110
2602423224,Montrose,node,145.3421513,-37.8106247
2603801815,Belgrave,node,145.3552263,-37.9120560
2608582330,Cranbourne,node,145.2834004,-38.1087442
2613069224,Leopold,node,144.4644962,-38.1891547
2615845781,Torquay,node,144.3134076,-38.3266551
2640573598,St Leonards,node,144.7182761,-38.1707592
2678009073,Werribee,node,144.6616976,-37.9008141
2689342276,Anglesea,node,144.1889580,-38.4051948
2884764953,Myrtleford,node,146.7261601,-36.5618856
3127112497,Yering,node,145.3746571,-37.6887134
3136698236,Ocean Grove,node,144.5248700,-38.2670450
3169776469,Kialla,node,145.3953615,-36.4160585
3524718170,Tongala,node,144.9509454,-36.2502613
3942868080,Wandong,node,145.0320881,-37.3653018
3947199612,Tankerton,node,145.2898474,-38.3851124
4055759519,Rubicon,node,145.8193919,-37.2938389
4394357556,Powelltown,node,145.7514607,-37.8630657
5603355821,Somerville,node,145.1736692,-38.2254039
5603356746,Mornington,node,145.0412592,-38.2197962
5704950543,Apollo Bay,node,143.6691463,-38.7547442
6001944126,Underbool,node,141.8090935,-35.1708547
