X,Y,address,
790771.692825572,6288700.7795285,6 FAIRVIEW DRIVE SOUTH BOWENFELS
790465.109497681,6289865.15982196,2 THORNTON AVENUE BOWENFELS
783978.038759178,6298719.63256282,18 HENNING CRESCENT WALLERAWANG
780485.899400684,6321987.15983533,3555 CASTLEREAGH HIGHWAY BEN BULLEN
790831.774864951,6289965.3316559,100 LANDA STREET BOWENFELS
790707.461433539,6288724.00285388,1B FAIRVIEW DRIVE SOUTH BOWENFELS
790403.240018111,6289544.23365406,2 JAMES O'DONNELL DRIVE BOWENFELS
783991.627216775,6298592.57713233,31 FITZGERALD STREET WALLERAWANG
790420.956089809,6289593.55001788,1F JAMES O'DONNELL DRIVE BOWENFELS
793315.629997805,6290925.67059557,122 MAIN STREET LITHGOW
793058.720048086,6291190.24110478,29 SANDFORD AVENUE LITHGOW
790380.194259858,6289745.51029742,16 THORNTON AVENUE BOWENFELS
784793.312759052,6298426.2510374,35 CARY AVENUE WALLERAWANG
783921.643381384,6298712.76992898,19 HENNING CRESCENT WALLERAWANG
793979.73214119,6291689.98733539,24 MACAULAY STREET LITHGOW
783972.464461539,6298985.75889166,12 RYDAL ROAD WALLERAWANG
777046.210678641,6304886.46544186,33 FALNASH STREET PORTLAND
793060.305068346,6290810.60734412,176 MAIN STREET LITHGOW
783933.230795153,6298770.71430937,11 HENNING CRESCENT WALLERAWANG
777042.996316616,6305302.46640724,24 LIME STREET PORTLAND
793578.27815792,6290698.75388047,30 ESKBANK STREET LITHGOW
790351.698924643,6289612.41293231,7 JAMES O'DONNELL DRIVE BOWENFELS
778815.15913156,6305055.38226167,1 RUSSELL STREET PORTLAND
783898.46962015,6298596.87917793,35 HENNING CRESCENT WALLERAWANG
778237.861972708,6305212.34240567,9 PORTLAND ROAD PORTLAND
776826.20322767,6305399.70180914,45 VILLIERS STREET PORTLAND
783960.239216795,6298629.76351179,30 HENNING CRESCENT WALLERAWANG
783924.540246985,6298727.25603291,17 HENNING CRESCENT WALLERAWANG
786340.747964761,6297249.49094158,44 ROCKY WATERHOLE DRIVE WALLERAWANG
784043.318800284,6298584.86495172,32 FITZGERALD STREET WALLERAWANG
793986.6189575,6291697.6515639,26 MACAULAY STREET LITHGOW
778023.62464321,6305124.42336783,21 PAINE STREET PORTLAND
784774.569655776,6299494.22702768,37 BRAYS LANE WALLERAWANG
790426.773885376,6289692.40428232,3 SHAWCROSS CLOSE BOWENFELS
790517.907137477,6288653.93357127,967A GREAT WESTERN HIGHWAY SOUTH BOWENFELS
783930.333995656,6298756.22822187,13 HENNING CRESCENT WALLERAWANG
777026.655905179,6304889.99030904,31 FALNASH STREET PORTLAND
777961.018728213,6306144.49694081,15 ROXBURGH STREET PORTLAND
790307.335857063,6289670.38762662,2 KIRBY AVENUE BOWENFELS
793072.377016995,6290817.45949811,174 MAIN STREET LITHGOW
793806.681848734,6290937.44384455,65 BRIDGE STREET LITHGOW
783973.324742561,6298539.79434181,49 HENNING CRESCENT WALLERAWANG
794235.327645663,6292099.62918705,18 SUTCLIFFE STREET MORTS ESTATE
777293.953801989,6305231.04649655,7 GREEN STREET PORTLAND
792745.436191535,6291377.15110657,15 COALBROOK STREET HERMITAGE FLAT
790329.519999824,6289738.20464408,8 KIRBY AVENUE BOWENFELS
792313.997187513,6290376.2815066,46 CUPRO STREET LITHGOW
792407.911683676,6290021.61522952,22 HILL RANGE CRESCENT LITHGOW
783955.976185886,6298543.17421661,47 HENNING CRESCENT WALLERAWANG
776609.400891016,6266597.39549294,1543 DUCKMALOI ROAD HAMPTON
794551.089982678,6292098.5921843,9 WILLES STREET MORTS ESTATE
784022.627519318,6298530.18684132,55 HENNING CRESCENT WALLERAWANG
783927.437119225,6298741.74215826,15 HENNING CRESCENT WALLERAWANG
783972.104968637,6298689.67624888,22 HENNING CRESCENT WALLERAWANG
792538.633613798,6290004.920186,29 WRIGHTS ROAD LITHGOW
790415.934957596,6289632.012824,5 SHAWCROSS CLOSE BOWENFELS
783939.023772364,6298799.68748327,7 HENNING CRESCENT WALLERAWANG
790972.996195566,6291982.73120018,5 WILLOW PLACE BOWENFELS
790353.955782233,6289554.07739183,4 JAMES O'DONNELL DRIVE BOWENFELS
792740.986244209,6291399.59951246,13 COALBROOK STREET HERMITAGE FLAT
778297.186931337,6305386.78847052,7 COMMONWEALTH ROAD PORTLAND
778718.251813923,6305540.69718487,56 RAILWAY AVENUE PORTLAND
789642.1168377,6295675.52583357,13 RESERVE ROAD MARRANGAROO
790715.163136548,6288767.86595885,3 FAIRVIEW DRIVE SOUTH BOWENFELS
790305.443549447,6289570.33922432,8 JAMES O'DONNELL DRIVE BOWENFELS
783969.139392644,6298674.69854573,24 HENNING CRESCENT WALLERAWANG
777517.597487316,6307932.70379779,40 DRUMKEEN LANE PORTLAND
790314.511516934,6289692.77095814,4 KIRBY AVENUE BOWENFELS
790408.716550632,6289845.79946886,3 THORNTON AVENUE BOWENFELS
783999.170036015,6298824.57100216,6 HENNING CRESCENT WALLERAWANG
777317.977558115,6305105.26686556,40 WOLGAN STREET PORTLAND
792883.38415028,6292165.49956585,53 HEPBURN STREET MCKELLARS PARK
776623.898081701,6305784.006449,16A BURTON STREET PORTLAND
784002.372639209,6298839.63130327,4 HENNING CRESCENT WALLERAWANG
777428.9666975,6305436.74898003,29 WOLGAN STREET PORTLAND
790309.446703859,6289631.69303996,9 JAMES O'DONNELL DRIVE BOWENFELS
791144.631281182,6291482.64270144,4 FRANCIS STREET BOWENFELS
