,Threat.Denier,Responsibility.Denier,Community.Guided,Worried.Waverer,Dependent.Evacuators,Considered.Evacuator,Experienced.Independent
HasDependents.Logical,0.1,0.2,0.4,0.4,0,0.5,0.5
WillGoHomeAfterVisitingDependents.Logical,0.9,0.2,0.6,0.8,0,0.4,0.9
WillGoHomeBeforeLeaving.Logical,0.9,0.2,0.6,0.8,0,0.4,0.9
WillStay.Logical,0,0,0,0,0,0,1
ResponseThresholdInitial.Numeric,0.6,0.4,0.3,0.3,0.3,0.3,0.4
ResponseThresholdFinal.Numeric,0.8,0.5,0.5,0.7,0.3,0.3,0.9
ImpactFromVisibleSmoke.Literal,0,0,0.2,0.1,0.2,0.3,0
ImpactFromImmersionInSmoke.Literal,0.1,0.1,0.3,0.2,0.3,0.4,0.2
ImpactFromVisibleEmbers.Literal,0.2,0.2,0.4,0.4,0.4,0.5,0.3
ImpactFromVisibleFire.Literal,0.5,0.3,0.5,0.5,0.5,0.6,0.4
ImpactFromVisibleResponders.Literal,-0.1,-0.3,0.3,0.3,0.3,0.4,0
ImpactFromMessageAdvice.Literal,0,0,0.091,0.088,0,0.103,0
ImpactFromMessageWatchAndAct.Literal,0,0,0.167,0.163,0,0.184,0
ImpactFromMessageEmergencyWarning.Literal,0,0,0.326,0.313,0,0.337,0
ImpactFromMessageEvacuateNow.Literal,0,0.327,0.346,0.311,0,0.358,0.325
ImpactFromMessageRespondersAttending.Literal,0,-0.2,0,-0.1,0.2,0.2,0
ImpactFromFireDangerIndexRating.Literal,0,0,0.1,0,0.1,0.1,0
ImpactFromSocialMessage.Literal,0,0.1,0.4,0.4,0.5,0.5,0.1
LagTimeInMinsForInitialResponse.Numeric,15,15,15,15,15,15,15
LagTimeInMinsForFinalResponse.Numeric,10,10,15,20,20,10,5
